,Year,Month,Coffee,Corn,Sugar
264,2012,1,237.2068182,272.9201455,24.0205
265,2012,2,224.157619,279.5143214,23.416
266,2012,3,201.2559091,280.715052,23.78818182
267,2012,4,191.4485714,274.2192966,22.477
268,2012,5,184.3647826,268.8849036,20.26545455
269,2012,6,168.6866667,267.3289218,20.09809524
270,2012,7,190.4459091,332.9988526,22.75714286
271,2012,8,174.8243478,332.2334953,20.56130435
272,2012,9,178.977,320.7059056,20.20631579
273,2012,10,173.3173913,321.3824173,20.38869565
274,2012,11,159.9063636,321.5968705,19.31333333
275,2012,12,152.707619,308.7504006,19.202
276,2013,1,157.0373913,303.3602112,18.84571429
277,2013,2,149.459,302.6103405,18.20789474
278,2013,3,149.8080952,309.5792051,18.339
279,2013,4,149.7868182,279.7648464,17.66227273
280,2013,5,147.186087,295.368975,17.42636364
281,2013,6,138.2595,297.1119132,16.956
282,2013,7,138.3873913,279.0132714,17.09636364
283,2013,8,135.1540909,234.9387661,17.24409091
284,2013,9,132.2814286,207.4901734,17.619
285,2013,10,128.6986957,201.7799929,18.8126087
286,2013,11,122.0180952,199.1824442,17.7485
287,2013,12,125.7354545,197.5534486,16.5447619
288,2014,1,132.5182609,198.7719886,15.70761905
289,2014,2,173.6435,209.3560195,16.88526316
290,2014,3,214.0866667,222.3929172,17.88809524
291,2014,4,223.4940909,222.4304107,18.2147619
292,2014,5,214.2027273,216.975101,18.24047619
293,2014,6,197.8909524,202.633823,18.24190476
294,2014,7,196.8952174,182.2945163,18.73045455
295,2014,8,212.9652381,176.4820806,17.7247619
296,2014,9,210.5263636,163.1343813,16.54428571
297,2014,10,225.2856522,163.3780893,16.47565217
298,2014,11,209.376,178.7085351,15.87894737
299,2014,12,193.386087,178.7129461,14.99227273
300,2015,1,189.6263636,174.7948714,15.0625
301,2015,2,178.8885,173.7588658,14.51210526
302,2015,3,160.7359091,174.2938214,12.84090909
303,2015,4,163.9977273,172.151577,12.91095238
304,2015,5,158.4828571,166.3503895,12.7035
305,2015,6,159.755,166.8138607,12.11363636
306,2015,7,154.4465217,179.6085304,11.87863636
307,2015,8,156.9233333,162.7406991,10.6747619
308,2015,9,146.1468182,166.077624,12.13714286
309,2015,10,153.2504545,171.4485732,14.14181818
310,2015,11,147.9785714,166.0924241,14.843
311,2015,12,148.6121739,164.0044018,14.76272727
312,2016,1,145.4347619,161.0988769,14.29105263
313,2016,2,147.6971429,159.7168454,13.314
314,2016,3,157.6313043,159.2265321,15.43045455
315,2016,4,154.217619,164.4654019,14.99809524
316,2016,5,155.1945455,169.0021199,16.68428571
317,2016,6,165.4522727,179.9127393,19.33727273
318,2016,7,171.7638095,161.8230448,19.687
319,2016,8,167.5413043,150.2154124,20.01434783
320,2016,9,176.2954545,148.5119017,21.35238095
321,2016,10,178.9552381,152.617444,22.91666667
322,2016,11,184.1154545,151.3314157,20.86857143
323,2016,12,161.7809091,152.7299247,18.83
